,dates,1,2,3,4,5,6,7
0,2000-02-12 20:46:47+00:00,67.53553432223602,60.39861480973589,77.2011139054562,55.937460079631556,118.67680366095269,65.3104939143594,93.94268808027357
1,2001-09-10 20:42:38+00:00,66.22488638612417,51.239902744366056,70.96781251378286,53.79589593624668,97.20543690797172,66.26612962824561,99.74639330889977
2,2001-11-29 20:42:36+00:00,71.52566454092498,61.65908806973114,75.01100769202134,55.956363780833016,115.87494186384998,71.00344388179721,64.14213157970073
3,2003-02-04 20:42:40+00:00,63.57085103607187,68.47337638190099,88.8745399389239,62.77195765097356,120.49215267816471,77.59964280709781,70.24498221994361
4,2003-03-24 20:42:41+00:00,56.40036604848723,64.01947781499685,86.60576231336063,52.95012541884218,117.61067924688624,76.11367697680078,75.4670950965947
5,2013-08-18 20:56:05+00:00,98.22175319892926,81.5028064977651,105.90294605820333,72.30069781109418,,97.05117600748153,102.9745505123334
6,2014-02-26 20:54:45+00:00,72.40629697593563,87.37290221504443,109.08488016189712,69.7557869184949,117.59924330861493,100.44958841383834,102.27795376501027
7,2014-03-30 20:54:17+00:00,67.44431236708172,86.31343289983613,109.54203206940528,68.51881998827648,113.789113627675,96.16336310962215,101.45243645329984
8,2014-06-02 20:53:41+00:00,76.91428782970759,81.34486918264679,111.84743889655506,81.24101949650043,114.43211493199996,100.23814086027684,103.31622854864776
9,2014-12-27 20:54:08+00:00,,80.8021982766398,108.29539131157355,56.8585579322472,95.750879955925,98.81260054047522,96.22095031871075
10,2015-01-28 20:54:01+00:00,87.2507296528362,90.23454403948264,119.05930254398118,78.67694598277201,123.39886902193892,101.12982508931337,104.68206960261541
11,2015-06-05 20:53:15+00:00,77.81366426601113,86.04930236624189,113.74639189899071,85.72875565202042,116.95716093884795,100.00032499485572,105.31523472064387
12,2017-03-22 20:53:41+00:00,63.80214873397208,78.31325022206113,113.59300184807091,90.4127905123115,126.22313418905652,99.72647392501064,106.96495103740241
13,2017-10-16 20:54:21+00:00,66.84550422821057,69.67916174242241,97.20867378361018,62.98076310366535,87.41234348671142,93.32649539921455,97.73250751756039
14,2018-12-06 20:53:57+00:00,72.64920772901618,79.98800885201538,104.28200012522349,65.1275486639194,70.13643291232833,100.90464424593225,99.51052499111076
15,2018-12-22 20:53:56+00:00,69.72201767325173,78.07440031374466,105.67958666804222,69.36339483899577,94.81610757524447,99.4228346348371,95.446989168207
16,2020-07-20 20:53:57+00:00,71.44127067795692,72.19718672249985,104.59695971347273,76.83623487861861,86.11492131918585,99.8913065704152,104.15008311783606
17,2020-12-11 20:54:24+00:00,73.76977203058901,84.67721713202053,107.211856693051,69.96248701886184,84.12247651667771,95.54343917002227,96.89584334812754
18,2021-09-09 20:54:19+00:00,72.94903083420401,78.07625059540695,108.40354771589254,81.21942079052214,78.71627810975934,98.9369612573885,99.97485731276315
19,2021-09-25 20:54:23+00:00,74.2310098349455,78.58049351359627,106.82543393464289,66.48640178469856,73.92317536512418,95.7865713577093,100.69461414695871
20,2022-02-24 20:54:09+00:00,72.76486180050944,83.33639829609146,112.25512179602009,71.79371456056101,85.7492690626401,107.94367052305113,104.22640802544159
21,2022-12-17 20:54:30+00:00,71.47588517568586,85.66239687179021,108.87965030704373,60.56279473291474,72.96134861703678,96.18801548883488,94.75668220628941
22,2023-01-10 20:54:29+00:00,81.91914828205978,85.70518735966681,106.80975544833797,61.96245780653513,88.49590507931207,101.08176847980718,98.76167274329721
23,2023-01-18 20:54:21+00:00,76.7541567530369,87.18038324362887,110.97817221411427,65.74144335644674,102.2784412802023,102.2798786944239,99.51047013137783
24,2023-06-11 20:53:30+00:00,83.45832514036465,79.95249071378088,105.53843243741619,65.30197179702166,83.8914927640279,105.14400125056446,105.29563404404644
25,2023-08-22 20:53:54+00:00,73.38829589396275,74.33279485857477,96.39993140566447,59.36063815992661,68.3380911946418,94.15170672141744,99.75023796729522
