,dates,1,2,3,4,5,6,7,8,9,10,11,12
0,2000-02-12 20:46:47+00:00,43.04302108310897,76.34672777027059,85.72368457786192,75.84767187231012,44.648755352024295,81.93260479840363,101.0309113055178,58.021926063815116,84.71717857894825,78.68093051345893,104.72455779519285,38.78679937447305
1,2001-09-10 20:42:38+00:00,41.20727159489731,75.22712084708475,78.69961366628456,66.74694176792076,43.57716328910232,67.15866402253704,87.90544688602027,59.43025171040022,80.4554543503935,88.69909284502835,107.84224600045845,41.61418977356516
2,2001-11-29 20:42:36+00:00,53.21282320837261,75.23455222553774,82.04744591323828,71.94538176988956,44.85019644977965,71.40284937530402,99.08949419479447,60.697295712443186,79.03142372482918,72.38453915281639,67.8023232569016,40.470158900745446
3,2003-02-04 20:42:40+00:00,36.76755685467525,74.99802630596632,97.10195754833322,80.33931531005717,48.336687281251486,72.52178041218241,101.78649009306851,67.53935816166155,79.07896107954491,80.66901274521658,85.18547902036548,41.58113962999778
4,2003-03-24 20:42:41+00:00,40.108868490706925,67.02824506580976,84.81346909286594,81.25968030307169,44.91205440668578,70.78659763778913,101.40695155551492,66.24078371695116,80.04156293550804,72.9758451196558,85.82599637578633,49.335688048100565
5,2004-09-02 20:42:47+00:00,50.82101338915626,74.19110077258092,83.06749501351663,80.82919591029021,45.08338042642705,71.92682862468773,84.62668483927716,,78.06749883391481,83.36399391034209,107.45375383793673,52.776264348998666
6,2013-08-18 20:56:05+00:00,70.4466729322974,100.57673804520391,99.59488727310071,84.42588976235878,54.53125779284067,62.233736747361455,68.36993948911578,86.45810444454312,83.57811224696502,88.34433650964812,108.23032520855969,49.35576828621561
7,2014-02-26 20:54:45+00:00,48.65763200416578,99.19134132705985,113.90211322187133,95.46139911880299,58.34608175241528,57.451791047985516,91.62000262386086,93.0418797755197,86.7108467512355,89.13160295393777,110.43122592591403,48.62675620551454
8,2014-03-30 20:54:17+00:00,51.62722839048781,87.01240412647877,106.91173945513,92.97531240532439,51.63510271280266,56.49040434293039,89.59731328725158,82.97497040774672,83.57742210816079,88.63384670408598,109.46053844729262,46.56082821224118
9,2014-06-02 20:53:41+00:00,61.171622816831956,87.75248837726025,106.18812766866333,90.14059668002513,62.53659660780696,66.85885788329223,89.969460335669,89.53945598736763,87.36244982970243,87.95809070621233,109.69929125317836,54.78861139441142
10,2014-12-27 20:54:08+00:00,,80.49065603530697,108.64306081095059,88.01803647956744,43.20550120703792,55.46493129931333,84.60076255484748,86.30450039761523,82.89601404158324,83.28835841105489,105.18930759361882,48.20910390204517
11,2015-01-28 20:54:01+00:00,50.71711607315868,85.45358938892281,111.06563788225358,98.34294254536869,52.042577045439806,61.01917058622847,100.20935133193537,86.13752315005323,84.97108688224782,88.22082857475367,107.48684795628908,56.74571965425275
12,2015-06-05 20:53:15+00:00,71.81128857049649,102.0631205897453,107.54192106875676,95.86133362226691,74.13283333338659,71.21942079523481,93.81506921672843,88.87650039711207,88.1997287291851,90.66687683855707,114.36729442864845,58.553417654999066
13,2017-03-22 20:53:41+00:00,52.33904145869329,74.43537355408257,101.16976390706724,99.50305506201397,76.2900529754294,65.76764165010611,109.68224036359327,86.7054614837268,86.47972017373321,89.18188823409656,110.43578177024662,51.32456699409522
14,2017-10-16 20:54:21+00:00,54.79811585863678,87.24937854176899,89.73834654980533,88.9096807962833,53.47511152110799,56.111272281386974,80.81859181848134,79.85747429804223,86.36650036213075,89.20837882798166,109.96467450711135,49.19373279530555
15,2018-12-06 20:53:57+00:00,56.612806201581144,87.59716453042545,97.20309220302758,94.15258240405018,49.461547814577,56.855471193964384,62.73818280563166,91.6922522802291,85.03543584085365,86.35220321277444,106.57977250599814,50.77693358249962
16,2018-12-22 20:53:56+00:00,46.765802673524895,80.93864798472056,100.03750904370511,93.07183523971271,54.28487360200778,56.56544587836261,73.35711470671453,85.47049305869713,84.93437916137253,87.4239405744238,106.1236400043525,48.63435153645696
17,2020-07-20 20:53:57+00:00,43.66236766527316,78.94004891244573,92.86053935186291,95.69756932321364,61.97660710062619,60.971803524590776,79.159955080638,88.68803891724839,83.89072607113805,88.67167406327376,110.31265859611611,56.459028304874664
18,2020-12-11 20:54:24+00:00,63.26423301032557,90.61950647875912,95.84352327566587,96.92436270996703,58.0520095932272,50.440518244015976,61.062131255325966,83.78429081921115,86.35792916775594,89.0601504989514,105.03548347579226,57.540614867175464
19,2021-09-09 20:54:19+00:00,48.23500129166548,80.84251490135456,94.185379099122,97.01370411995451,63.97401071390833,58.87934925055575,69.40372288706209,85.0135305358225,82.07076600687786,89.51957798026505,108.13771468953058,61.46681194665143
20,2021-09-25 20:54:23+00:00,59.44378227209011,87.32902472604788,91.22677683834289,92.95079857242342,49.01782087231821,56.92697585740193,61.1495985914873,82.16402972740553,84.62630093678018,88.85476827346343,106.88355364853308,50.99557973892661
21,2022-02-24 20:54:09+00:00,51.50321060216773,85.64105263279242,104.29998123775528,99.44656239330536,58.99904875135228,61.0620114948332,70.40147002307975,98.41818951986757,84.71095623858042,88.09662129647808,109.88972530216368,57.214791608887026
22,2022-12-17 20:54:30+00:00,61.124791427282275,96.75718919743508,100.40614236294259,94.4989854780869,51.07069396907659,51.025786895240486,52.9008351461373,88.4464559339826,86.69050179866954,89.2406367962067,106.12900911140866,55.66035741363885
23,2023-01-10 20:54:29+00:00,61.466951299258575,89.3887575831013,104.2376787337451,95.06245984121324,47.743508484710006,47.42833917556027,58.61218786057171,92.31435487292576,81.97932407066503,83.43768438177858,104.08975618227497,55.72998995479429
